start	end	text
0	5500	はい一応こっちカレンダーに入って たんで入ります
5500	14500	はいよく入れよく入れ
14500	16180	はいよろしくお願いいたします
16180	20580	すみませんお手元が逃してしまい ました申し訳ございません
20580	25060	はい私株式会社オーカズマン 渡成と申します
25060	27060	お願いいたします
27060	29940	私の方に問題なく聞こえておりますでしょうか
29940	30600	聞こえております
30600	31700	ありがとうございます
31700	37540	そうしましたら本日お問い合わせいただいたというところでございまして
37540	42340	弊社の簡単なご紹介から2,3分程度お時間をいただいたのでよろしいでしょうか
42340	43560	はいお願いいたします
43560	44740	ありがとうございます
44740	48720	ちょっと画面を共有しながら弊社のコンページをご紹介しながら
48720	50980	お話しさせていただければと思っております
50980	51680	はい
57060	63160	一人前ご覧いただけておりますでしょうか
63160	65220	はい ありがとうございます
65220	69020	弊社はシステム開発会社というところで
69020	70860	様々なデールサービスですとか
70860	73560	プロダクトウェブ系のサービスを
73560	75120	展開させていただいております
75120	79760	特徴が従来の開発会社と比べたときに
79760	82660	大きく2つあるかなというふうに思っておりまして
82660	85940	1つ目がここに記載している通りなんですけれども
85940	94440	AIやノーコードといった最初のテクノロジーでですね ビジネスをサポートするというところをですね 大きな特徴としております
94440	101480	平たく言ってしまうとですね 今 AIの進展がですね 発展が目覚ましいものがございまして
101480	107100	今 開発の世界で革命的な合力が起きているというところでございます
107100	111240	従来の拡大者に比べてAIをフェル活用することで
111240	115520	早く安くいいプロダクトを提供するというところを
115520	117460	得意としている会社でございます
117460	122720	2点目がこちらなんですけれども
122720	125960	あくまでシステム開発はビジネスの一部に過ぎないというふうに
125960	126840	捉えております
126840	131740	システム開発の前に何を作るべきかという01のフェーズと
131740	134740	あと作った後それをいかに広めていくかの
134740	138080	1100のフェーズがあるかなというふうに考えておりまして
138080	144500	コンサルティングのようなコンサルティング的な部分ですとか
144500	146980	あとプロダクトをいかに広めるかの部分です
146980	148920	マーケティングですとか営業の支援ですとか
148920	150780	そういったところでオールインワンで
150780	155280	ビジネス全体をご支援させていただけるというところも
155280	158320	大きな特徴としてしているというところでございます
158320	162720	その周辺領域に関しましては01の部分ですね
162720	166520	ホドキンを活用したご提案も特異としておりますし
166520	169280	マーケティングですとSNSですとかあるいはSEOメディアを作る
169280	171880	もしくはYouTubeも含めてですね
171880	176560	動画を作ってご提供するというところも可能としている会社でございます
176560	181160	幅広くご相談いただけるとありがたいかなというふうに思っております
181160	184680	その他の部分で申し上げますと
184680	188100	メディアですね複数運営しているというところとですね
