シューズJANコード,,,,,
メーカー名,品名,品番,カラー・番手,ＪＡＮコード,呼出ＮＯ
カワサキ,バドミントンシューズ,K-086,21cm,4589752424006,181
カワサキ,バドミントンシューズ,K-086,21.5cm,4589752424013,182
カワサキ,バドミントンシューズ,K-086,22cm,4589752424020,183
カワサキ,バドミントンシューズ,K-086,22.5cm,4589752424037,184
カワサキ,バドミントンシューズ,K-086,23cm,4589752424044,185
カワサキ,バドミントンシューズ,K-086,23.5cm,4589752424051,186
カワサキ,バドミントンシューズ,K-086,24cm,4589752424068,187
カワサキ,バドミントンシューズ,K-086,24.5cm,4589752424075,188
カワサキ,バドミントンシューズ,K-086,25cm,4589752424082,189
カワサキ,バドミントンシューズ,K-086,25.5cm,4589752424099,190
カワサキ,バドミントンシューズ,K-086,26cm,4589752424105,191
カワサキ,バドミントンシューズ,K-086,"26,5cm",4589752424112,192
カワサキ,バドミントンシューズ,K-086,27cm,4589752424129,193
カワサキ,バドミントンシューズ,K-086,27.5cm,4589752424136,194
カワサキ,バドミントンシューズ,K-086,28㎝,4589752424143,195
カワサキ,ジュニアバドミントンシューズ,K1B90,20.5cm,4589752424150,196
カワサキ,ジュニアバドミントンシューズ,K1B90,21cm,4589752424167,197
カワサキ,ジュニアバドミントンシューズ,K1B90,21.5cm,4589752424174,198
