アクセサリーJANコード一覧,,,,,,,,,,,,,
,品名,品番,カラー・番手,ＪＡＮコード,呼出ＮＯ,,,,,,,,
KAWASAKI,ELITE61,KGE61,WH,4589752420015,210,,,261,カワサキ,グリップテープ,ＳＲＧ－１００,BK,4953582190200
KAWASAKI,ELITE65,KGE65,WH,4589752420022,211,,,266,カワサキ,グリップテープ,ＳＲＧ－１００,RＰ,4953582190897
KAWASAKI,ELITE61,KGE61-2,WH,4589752420039,212,,,267,カワサキ,グリップテープ,ＳＲＧ－１００,YL,4953582190903
KAWASAKI,ELITE65,KGE65-2,WH,4589752420046,213,,,268,カワサキ,グリップテープ,ＳＲＧ－１００,MB,4953582190910
KAWASAKI,ラケットバッグ,KBB-8640,,4589752420053,214,,,269,カワサキ,グリップテープ,ＳＲＧ－１００,OR,4953582190927
KAWASAKI,トーナメントバッグ,KBB-8643,,4589752420060,215,,,270,カワサキ,グリップテープ,ＳＲＧ－１００,PG,4953582190934
KAWASAKI,ELITE61,KGE61,YL,4589752420077,216,,,272,カワサキ,グリップテープ,ＳＲＧ－１００,RD,4953582190958
KAWASAKI,ELITE65,KGE65,YL,4589752420084,217,,,273,カワサキ,グリップテープ,ＳＲＧ－１００,WH,4953582190965
KAWASAKI,ELITE61,KGE61-2,YL,4589752420091,218,,,,,,,,
KAWASAKI,ELITE65,KGE65-2,YL,4589752420107,219,,,280,カワサキ,グリップテープ,ＳＲＧ－３１０,BK,4953582190217
KAWASAKI,ELITE61,KGE61,BK,4589752420114,220,,,285,カワサキ,グリップテープ,ＳＲＧ－３１０,RP,4953582190743
KAWASAKI,ELITE65,KGE65,BK,4589752420121,221,,,286,カワサキ,グリップテープ,ＳＲＧ－３１０,YL,4953582190750
KAWASAKI,ELITE61,KGE61-2,BK,4589752420138,222,,,287,カワサキ,グリップテープ,ＳＲＧ－３１０,MB,4953582190767
KAWASAKI,ELITE65,KGE65-2,BK,4589752420145,223,,,288,カワサキ,グリップテープ,ＳＲＧ－３１０,OR,4953582190774
KAWASAKI,ラケットバッグ,KRB-BR,BR,4589752420152,226,,,289,カワサキ,グリップテープ,ＳＲＧ－３１０,PG,4953582190781
KAWASAKI,ラケットバッグ,KRB-WB,WB,4589752420169,227,,,291,カワサキ,グリップテープ,ＳＲＧ－３１０,RD,4953582190804
KAWASAKI,ELITE61,KGE61,PK,4589752420176,228,,,292,カワサキ,グリップテープ,ＳＲＧ－３１０,WH,4953582190811
KAWASAKI,ELITE61,KGE61,MT,4589752420183,229,,,,,,,,
KAWASAKI,ELITE65,KGE65,PK,4589752420190,230,,,,,,,,
KAWASAKI,ELITE65,KGE65,MT,4589752420206,231,,,,,,,,
KAWASAKI,ソフトテニストレーナー,KS-110,,4589752420213,232,,,,,,,,
KAWASAKI,ソフトテニストレーナースペア,KS-111,,4589752420220,233,,,,,,,,
KAWASAKI,硬式テニストレーナー,KS-120,,4589752420237,234,,,,,,,,
KAWASAKI,硬式テニストレーナースペア,KS-121,,4589752420244,235,,,,,,,,
,,,,458975242025,,,,,,,,,
,,,,458975242026,,,,,,,,,
,,,,458975242027,,,,,,,,,
,,,,458975242028,,,,,,,,,
,,,,458975242029,,,,,,,,,
,,,,458975242030,,,,,,,,,
,,,,458975242031,,,,,,,,,
,,,,458975242032,,,,,,,,,
,,,,458975242033,,,,,,,,,
,,,,458975242034,,,,,,,,,
,,,,458975242035,,,,,,,,,
,,,,458975242036,,,,,,,,,
,,,,458975242037,,,,,,,,,
,,,,458975242038,,,,,,,,,
,,,,458975242039,,,,,,,,,
,,,,458975242040,,,,,,,,,
,,,,458975242041,,,,,,,,,
