ラケットJANコード一覧,,,,,
品名,品番,カラー・番手,ＪＡＮコード,呼出ＮＯ,備考
ＳＫＹ　ＢＥＡＴ,KR-110,ＰＫ,4589752421012,311,フレーム
ＳＫＹ　ＢＥＡＴ,KR-111,ＢＬ,4589752421029,312,フレーム
ＳＫＹ　ＢＥＡＴ,KR-112,ＰＫ,4589752421036,313,張り上がり
ＳＫＹ　ＢＥＡＴ,KR-113,ＢＬ,4589752421043,314,張り上がり
WHITE  STAR,KR-101,PK,4589752421050,315,
WHITE  STAR,KR-102,BL,4589752421067,316,
X-PLORE,Ｘ-１６０　ＳＤ,PK,4589752421074,317,専門店会
X-PLORE,Ｘ-１６０　ＡＫ,ＹＬ,4589752421081,318,専門店会
X-PLORE,Ｘ-１６０,ＢＫ×ＥＧ,4589752421098,319,
X-PLORE,Ｘ-１６０,PK×WH,4589752421104,320,
HIGH TENSION,G-30,YL,4589752421111,411,
HIGH TENSION,G-30,PK,4589752421128,412,
HIGH TENSION,G-30,OR,4589752421135,413,
HONOR,S6,GR×BK,4589752421142,414,
軟式テニスラケット,ＴＳ-2000,,4589752421159,415,
硬式テニスラケット,ＫＲ－600,,4589752421166,416,
エクスプローラ,Ｘ-1915,ピンク,4589752421173,417,専門店会
エクスプローラ,Ｘ-1915,イエロー,4589752421180,418,専門店会
エクスプローラ,Ｘ-１６０,RD,4589752421197,419,
エクスプローラ,Ｘ-１６０,EG,4589752421203,420,
軟式テニスラケット,KS-4000,BL,4589752421210,430,
エクスプローラ,Ｘ-２６０,ネイビー×ピンク,4589752421227,431,
エクスプローラ,Ｘ-２６０,ネイビー×ミント,4589752421234,432,
KB-300,KB-300,ブルー,4589752421241,433,
KB-500,KB-500,ブラック・イエロー,4589752421258,434,
エクスプローラ,X260,BK,4589752421265,436,
HIGH TENSION,G6,レッド,4589752421272,440,
HIGH TENSION,G6,ブルー,4589752421289,441,
HIGH TENSION,G6,グリーン,4589752421296,442,
KB-300,KB-300,グリーン,4589752421302,443,
KB-500,KB-500,ブラック・オレンジ,4589752421319,444,
STELLA３００,S-300,BL,4589752421326,445,廃番
STELLA３００,S-300,GR,4589752421333,446,
,,,458975242134,,
,,,458975242135,,
,,,458975242136,,
,,,458975242137,,
,,,458975242138,,
,,,458975242139,,
,,,458975242140,,
,,,458975242141,,
STELLA５００,S-500,BL,4589752421340,447,
STELLA５００,S-500,LV,4589752421357,448,
STELLA５００,S-500,MNT,4589752421364,449,
STELLA３００,S-300,WHITE,4589752421371,451,
STELLA３００,S-300,BLUE,4589752421388,452,
STELLA３００,S-300,RED,4589752421395,453,
STELLA５００,S-500,BLUE,4589752421401,454,
STELLA５００,S-500,YELLOW,4589752421418,458,
STELLA５００,S-500,PURPLE,4589752421425,459,
ソフトテニスラケット,KS-7000,BLUE,4589752421432,460,
ソフトテニスラケット,KS-7000,MINT,4589752421449,461,
STELLA17,S-17 FR,BLUE,4589752421456,462,
STELLA17,S-17 FR,GREEN,4589752421463,463,
STELLA17,S-17,MINT,4589752421470,464,
STELLA17,S-17,PINK,4589752421487,465,
STELLA17,S-17 ST,BLUE,4589752421494,466,
STELLA17,S-17 ST,GREEN,4589752421500,467,
HIGH TENSION,G7,WHITE,4589752421517,468,
STELLA17（専門店会）,S-17　BL　ST,BLUE,4589752421524,469,
STELLA17,S-17 SV　ST,SHILVER,4589752421531,470,
KING,P-KING brown,black×brown,4589752421548,471,
KING,P-KING red,black×red,4589752421555,472,
AURORA,P-AURORA pk,PINK,4589752421562,473,
AURORA,P-AURORA pur,PURPLE,4589752421579,474,
GALAXY,P-GALAXY pur,black×purple,4589752421586,475,
GALAXY,P-GALAXY bl,blue,4589752421593,476,
