ウェアJANコード一覧,,,,,
品名,品番,カラー,サイズ,ＪＡＮコード,呼出ＮＯ
KAWASAKI Ｔシャツ,T-22101-BLA-S,BLA,S,4589752242013,106
KAWASAKI Ｔシャツ,T-22101-BLA-M,BLA,M,4589752242020,107
KAWASAKI Ｔシャツ,T-22101-BLA-L,BLA,L,4589752242037,108
KAWASAKI Ｔシャツ,T-22101-BLA-XL,BLA,XL,4589752242044,109
KAWASAKI Ｔシャツ,T-22101-IKBLU-S,IKBLU,S,4589752242051,110
KAWASAKI Ｔシャツ,T-22101-IKBLU-M,IKBLU,M,4589752242068,111
KAWASAKI Ｔシャツ,T-22101-IKBLU-L,IKBLU,L,4589752242075,114
KAWASAKI Ｔシャツ,T-22101-IKBLU-XL,IKBLU,XL,4589752242082,115
KAWASAKI Ｔシャツ,T-22103-BLA-S,BLA,S,4589752242099,116
KAWASAKI Ｔシャツ,T-22103-BLA-M,BLA,M,4589752242105,117
KAWASAKI Ｔシャツ,T-22103-BLA-L,BLA,L,4589752242112,118
KAWASAKI Ｔシャツ,T-22103-BLA-XL,BLA,XL,4589752242129,119
KAWASAKI Ｔシャツ,T-22103-NVY-S,NVY,S,4589752242136,121
KAWASAKI Ｔシャツ,T-22103-NVY-M,NVY,M,4589752242143,123
KAWASAKI Ｔシャツ,T-22103-NVY-L,NVY,L,4589752242150,124
KAWASAKI Ｔシャツ,T-22103-NVY-XL,NVY,XL,4589752242167,125
KAWASAKI×CarpコラボTシャツ,T-carp-RD-SS,RED,SS,4589752242174,126
KAWASAKI×CarpコラボTシャツ,T-carp-RD-S,RED,S,4589752242181,127
KAWASAKI×CarpコラボTシャツ,T-carp-RD-M,RED,M,4589752242198,128
KAWASAKI×CarpコラボTシャツ,T-carp-RD-L,RED,L,4589752242204,129
KAWASAKI×CarpコラボTシャツ,T-carp-RD-XL,RED,XL,4589752242211,154
KAWASAKI×CarpコラボTシャツ,T-carp-WH-SS,WH,SS,4589752242228,155
KAWASAKI×CarpコラボTシャツ,T-carp-WH-S,WH,S,4589752242235,156
KAWASAKI×CarpコラボTシャツ,T-carp-WH-M,WH,M,4589752242242,160
KAWASAKI×CarpコラボTシャツ,T-carp-WH-L,WH,L,4589752242259,161
KAWASAKI×CarpコラボTシャツ,T-carp-WH-XL,WH,XL,4589752242266,162
,,,,458975224227,
,,,,458975224228,
,,,,458975224229,
,,,,458975224230,
,,,,458975224231,
,,,,458975224232,
,,,,458975224233,
,,,,458975224234,
,,,,458975224235,
,,,,458975224236,
,,,,458975224237,
,,,,458975224238,
,,,,458975224239,
,,,,458975224240,
,,,,458975224241,
